ID	soil	Lt	Fc	plant	C.before	C.after	N.before	N.after	CN.before	CN.after
1	Loam	1	0	Zm	1.3554	1.4885	0.12797	0.13573	10.59154489	10.96662492
2	Loam	0	1	Zm	1.3554	1.3977	0.12797	0.12412	10.59154489	11.26087657
3	Loam	1	1	Zm	1.3554	1.3761	0.12797	0.1227	10.59154489	11.21515892
4	Loam	0	0	Zm	1.3554	1.3491	0.12797	0.12264	10.59154489	11.00048924
5	Loam	1	0	Sp	1.3554	1.4408	0.12797	0.12716	10.59154489	11.33060711
6	Loam	0	1	Sp	1.3554	1.4177	0.12797	0.12614	10.59154489	11.23909941
7	Loam	1	1	Sp	1.3554	1.4441	0.12797	0.13024	10.59154489	11.0879914
8	Loam	0	0	Sp	1.3554	1.4314	0.12797	0.1285	10.59154489	11.13929961
9	Loam	1	0	Zm	1.3554	1.4207	0.12797	0.1263	10.59154489	11.24861441
10	Loam	0	1	Zm	1.3554	1.3564	0.12797	0.12204	10.59154489	11.11438873
11	Loam	1	1	Zm	1.3554	1.4081	0.12797	0.12654	10.59154489	11.12770665
12	Loam	0	0	Zm	1.3554	1.3968	0.12797	0.12281	10.59154489	11.37366664
13	Loam	1	0	Sp	1.3554	1.7748	0.12797	0.151	10.59154489	11.75364238
14	Loam	0	1	Sp	1.3554	1.405	0.12797	0.12697	10.59154489	11.06560605
15	Loam	1	1	Sp	1.3554	1.5304	0.12797	0.1322	10.59154489	11.57639939
16	Loam	0	0	Sp	1.3554	1.4098	0.12797	0.12773	10.59154489	11.0373444
17	Loam	1	0	Zm	1.3554	1.4324	0.12797	0.12344	10.59154489	11.60401815
18	Loam	0	1	Zm	1.3554	1.3551	0.12797	0.12395	10.59154489	10.93263413
19	Loam	1	1	Zm	1.3554	1.5869	0.12797	0.13007	10.59154489	12.20035366
20	Loam	0	0	Zm	1.3554	1.3767	0.12797	0.12197	10.59154489	11.28720177
21	Loam	1	0	Sp	1.3554	1.432	0.12797	0.12634	10.59154489	11.33449422
22	Loam	0	1	Sp	1.3554	1.4876	0.12797	0.1315	10.59154489	11.31254753
23	Loam	1	1	Sp	1.3554	1.4219	0.12797	0.12966	10.59154489	10.96637359
24	Loam	0	0	Sp	1.3554	1.3599	0.12797	0.12352	10.59154489	11.00955311
25	Loam	1	0	Zm	1.3554	1.3411	0.12797	0.1222	10.59154489	10.97463175
26	Loam	0	1	Zm	1.3554	1.3521	0.12797	0.12489	10.59154489	10.82632717
27	Loam	1	1	Zm	1.3554	1.3663	0.12797	0.12325	10.59154489	11.08559838
28	Loam	0	0	Zm	1.3554	1.4256	0.12797	0.1301	10.59154489	10.95772483
29	Loam	1	0	Sp	1.3554	1.5928	0.12797	0.13312	10.59154489	11.96514423
30	Loam	0	1	Sp	1.3554	1.5373	0.12797	0.13123	10.59154489	11.71454698
31	Loam	1	1	Sp	1.3554	1.5088	0.12797	0.13081	10.59154489	11.53428637
32	Loam	0	0	Sp	1.3554	1.5	0.12797	0.12992	10.59154489	11.5455665
33	Loam	1	0	Zm	1.3554	1.3398	0.12797	0.12215	10.59154489	10.96848138
34	Loam	0	1	Zm	1.3554	1.3846	0.12797	0.12303	10.59154489	11.25416565
35	Loam	1	1	Zm	1.3554	1.4364	0.12797	0.12887	10.59154489	11.14611624
36	Loam	0	0	Zm	1.3554	1.3597	0.12797	0.12289	10.59154489	11.06436651
37	Loam	1	0	Sp	1.3554	1.4455	0.12797	0.12825	10.59154489	11.27095517
38	Loam	0	1	Sp	1.3554	1.4329	0.12797	0.12804	10.59154489	11.19103405
39	Loam	1	1	Sp	1.3554	1.3762	0.12797	0.1276	10.59154489	10.78526646
40	Loam	0	0	Sp	1.3554	1.4176	0.12797	0.12883	10.59154489	11.00364822
41	Loam	0	0	Zm	1.3554	1.3039	0.12797	0.12004	10.59154489	10.8622126
42	Sand	1	0	Zm	0.973398	1.009	0.096574	0.09418	10.09471991	10.71352729
43	Sand	0	1	Zm	0.973398	1.0471	0.096574	0.10663	10.09471991	9.819938104
44	Sand	1	1	Zm	0.973398	1.043	0.096574	0.09855	10.09471991	10.58346017
45	Sand	0	0	Zm	0.973398	1.0961	0.096574	0.10192	10.09471991	10.75451334
46	Sand	1	0	Sp	0.973398	1.1111	0.096574	0.10908	10.09471991	10.18610194
47	Sand	0	1	Sp	0.973398	1.6367	0.096574	0.12829	10.09471991	12.75781433
48	Sand	1	1	Sp	0.973398	1.6064	0.096574	0.12105	10.09471991	13.27054936
49	Sand	0	0	Sp	0.973398	1.1837	0.096574	0.10448	10.09471991	11.32944104
50	Sand	1	0	Zm	0.973398	1.0096	0.096574	0.09121	10.09471991	11.06896174
51	Sand	0	1	Zm	0.973398	0.94649	0.096574	0.08984	10.09471991	10.53528495
52	Sand	1	1	Zm	0.973398	0.99996	0.096574	0.09061	10.09471991	11.03586801
53	Sand	0	0	Zm	0.973398	0.98877	0.096574	0.09322	10.09471991	10.60684402
54	Sand	1	0	Sp	0.973398	1.6529	0.096574	0.11713	10.09471991	14.11167079
55	Sand	0	1	Sp	0.973398	1.2926	0.096574	0.10348	10.09471991	12.49130267
56	Sand	1	1	Sp	0.973398	1.3641	0.096574	0.11599	10.09471991	11.76049659
57	Sand	0	0	Sp	0.973398	1.3529	0.096574	0.10765	10.09471991	12.56758012
58	Sand	1	0	Zm	0.973398	0.87814	0.096574	0.07931	10.09471991	11.07224814
59	Sand	0	1	Zm	0.973398	0.94777	0.096574	0.08657	10.09471991	10.94801894
60	Sand	1	1	Zm	0.973398	1.039	0.096574	0.0945	10.09471991	10.99470899
61	Sand	0	0	Zm	0.973398	1.1121	0.096574	0.09714	10.09471991	11.44842495
62	Sand	1	0	Sp	0.973398	1.4189	0.096574	0.11207	10.09471991	12.66083698
63	Sand	0	1	Sp	0.973398	1.2194	0.096574	0.10317	10.09471991	11.81932732
64	Sand	1	1	Sp	0.973398	1.4883	0.096574	0.11834	10.09471991	12.57647456
65	Sand	0	0	Sp	0.973398	1.0974	0.096574	0.0985	10.09471991	11.14111675
66	Sand	1	0	Zm	0.973398	0.96867	0.096574	0.08983	10.09471991	10.78336859
67	Sand	0	1	Zm	0.973398	1.1304	0.096574	0.1076	10.09471991	10.50557621
68	Sand	1	1	Zm	0.973398	1.0994	0.096574	0.09807	10.09471991	11.21035995
69	Sand	0	0	Zm	0.973398	1.0403	0.096574	0.09765	10.09471991	10.65335381
70	Sand	1	0	Sp	0.973398	1.4181	0.096574	0.11936	10.09471991	11.88086461
71	Sand	0	1	Sp	0.973398	1.6035	0.096574	0.1215	10.09471991	13.19753086
72	Sand	1	1	Sp	0.973398	1.5676	0.096574	0.11158	10.09471991	14.04911274
73	Sand	0	0	Sp	0.973398	1.3989	0.096574	0.1119	10.09471991	12.50134048
74	Sand	1	0	Zm	0.973398	0.98037	0.096574	0.09348	10.09471991	10.48748395
75	Sand	0	1	Zm	0.973398	0.96917	0.096574	0.08773	10.09471991	11.04719024
76	Sand	1	1	Zm	0.973398	0.96544	0.096574	0.09385	10.09471991	10.28705381
77	Sand	0	0	Zm	0.973398	0.9805	0.096574	0.09551	10.09471991	10.26594074
78	Sand	1	0	Sp	0.973398	1.5022	0.096574	0.11563	10.09471991	12.99143821
79	Sand	0	1	Sp	0.973398	1.4221	0.096574	0.11206	10.09471991	12.69052293
80	Sand	1	1	Sp	0.973398	1.2255	0.096574	0.09854	10.09471991	12.43657398
