Kanal	cosm	plant	treat	soil	Airflow	Cmic 
18	8	Sp	Control	Loam	162.104828	390.1038113
19	8	Sp	Control	Loam	152.598026	388.3233805
20	8	Sp	Control	Loam	173.33645	395.9037423
8	16	Sp	Control	Loam	165.158774	324.8393492
9	16	Sp	Control	Loam	159.061028	314.0327479
10	16	Sp	Control	Loam	164.702204	315.6964518
8	24	Sp	Control	Loam	163.099136	390.4060822
9	24	Sp	Control	Loam	151.847222	365.6985472
10	24	Sp	Control	Loam	165.503738	357.5639014
22	32	Sp	Control	Loam	151.852295	320.5724398
23	32	Sp	Control	Loam	161.886689	308.9660097
24	32	Sp	Control	Loam	156.027374	324.5771327
15	40	Sp	Control	Loam	158.589239	368.0834809
16	40	Sp	Control	Loam	168.760604	344.1918626
17	40	Sp	Control	Loam	155.37803	360.05547
15	6	Sp	Fc	Loam	156.833981	417.4230126
16	6	Sp	Fc	Loam	164.752934	384.6623267
17	6	Sp	Fc	Loam	169.58243	397.0117533
11	14	Sp	Fc	Loam	185.227562	411.5255007
12	14	Sp	Fc	Loam	170.431312	347.7083078
14	14	Sp	Fc	Loam	171.398564	351.2281742
1	22	Sp	Fc	Loam	162.571544	378.0333617
2	22	Sp	Fc	Loam	159.58862	286.786571
3	22	Sp	Fc	Loam	169.998416	378.0004905
4	30	Sp	Fc	Loam	165.716804	369.2603781
6	30	Sp	Fc	Loam	155.367884	372.5871529
7	30	Sp	Fc	Loam	158.939276	328.2990568
15	38	Sp	Fc	Loam	171.905864	416.7066627
16	38	Sp	Fc	Loam	167.614106	388.62308
17	38	Sp	Fc	Loam	162.63242	416.4184131
15	5	Sp	Lt	Loam	185.66384	455.3111778
16	5	Sp	Lt	Loam	178.480472	426.1251507
17	5	Sp	Lt	Loam	159.416138	444.1028589
18	13	Sp	Lt	Loam	157.295624	362.0809257
19	13	Sp	Lt	Loam	172.514624	344.6862924
20	13	Sp	Lt	Loam	191.305016	314.492679
8	21	Sp	Lt	Loam	164.803664	405.4057077
9	21	Sp	Lt	Loam	158.127596	399.0190656
10	21	Sp	Lt	Loam	160.836578	360.9647148
22	29	Sp	Lt	Loam	189.088115	391.8265461
23	29	Sp	Lt	Loam	167.766296	397.9867966
24	29	Sp	Lt	Loam	167.233631	396.7685859
4	37	Sp	Lt	Loam	176.725214	358.0240279
6	37	Sp	Lt	Loam	149.533934	366.6646915
7	37	Sp	Lt	Loam	176.456345	358.3424464
18	7	Sp	Mix	Loam	163.433954	419.5374796
19	7	Sp	Mix	Loam	175.345358	423.1218444
20	7	Sp	Mix	Loam	181.625732	426.8830969
11	15	Sp	Mix	Loam	176.93828	315.477609
12	15	Sp	Mix	Loam	149.368216	345.3316617
14	15	Sp	Mix	Loam	159.13205	414.1764762
4	23	Sp	Mix	Loam	153.876422	408.7363899
6	23	Sp	Mix	Loam	161.26271	90.72972039
7	23	Sp	Mix	Loam	163.804283	372.8298922
18	31	Sp	Mix	Loam	163.231034	473.4578871
19	31	Sp	Mix	Loam	194.59232	404.5538964
20	31	Sp	Mix	Loam	169.957832	468.2100449
1	39	Sp	Mix	Loam	172.078346	382.5231823
2	39	Sp	Mix	Loam	156.636134	371.9509125
3	39	Sp	Mix	Loam	161.333732	449.5093405
1	0	Wp	start	Loam	167.289434	310.2967202
2	0	Wp	start	Loam	176.238206	148.5647668
3	0	Wp	start	Loam	154.21124	293.5545606
11	41	Wp	Control2	Loam	163.834721	342.4744433
12	41	Wp	Control2	Loam	181.666316	189.3325102
14	41	Wp	Control2	Loam	164.184758	335.2867812
4	4	Zm	Control	Loam	162.490376	358.2206079
6	4	Zm	Control	Loam	167.238704	369.4925951
7	4	Zm	Control	Loam	166.381367	323.9049237
18	12	Zm	Control	Loam	155.794016	348.1958749
19	12	Zm	Control	Loam	170.19119	347.073069
20	12	Zm	Control	Loam	173.600246	342.3264097
15	20	Zm	Control	Loam	156.275951	406.9117695
16	20	Zm	Control	Loam	158.553728	352.9193744
17	20	Zm	Control	Loam	158.42183	370.7789047
11	28	Zm	Control	Loam	153.627845	402.1051828
12	28	Zm	Control	Loam	146.121496	379.5936542
14	28	Zm	Control	Loam	161.46563	368.3234756
22	36	Zm	Control	Loam	148.854152	297.0656603
23	36	Zm	Control	Loam	161.627966	279.0243608
24	36	Zm	Control	Loam	158.568947	304.3530998
8	2	Zm	Fc	Loam	168.811334	337.1203431
9	2	Zm	Fc	Loam	156.666572	337.6211891
10	2	Zm	Fc	Loam	171.276812	336.0988669
15	10	Zm	Fc	Loam	161.069936	494.388346
16	10	Zm	Fc	Loam	185.450774	539.4537585
17	10	Zm	Fc	Loam	163.007822	505.9942419
11	18	Zm	Fc	Loam	166.528484	403.6926342
12	18	Zm	Fc	Loam	183.759774	116.4437396
14	18	Zm	Fc	Loam	160.004606	380.7619508
1	26	Zm	Fc	Loam	170.231774	327.7444144
2	26	Zm	Fc	Loam	163.931108	328.2322749
3	26	Zm	Fc	Loam	160.70468	344.5306761
4	34	Zm	Fc	Loam	163.64702	361.5263933
6	34	Zm	Fc	Loam	171.550754	166.4729638
7	34	Zm	Fc	Loam	160.415519	364.8989151
1	1	Zm	Lt	Loam	179.535656	399.815161
2	1	Zm	Lt	Loam	163.738334	398.4025534
3	1	Zm	Lt	Loam	178.876166	391.5177188
11	9	Zm	Lt	Loam	168.187355	430.0060668
12	9	Zm	Lt	Loam	137.91	263.5675071
14	9	Zm	Lt	Loam	184.872452	399.4721379
8	17	Zm	Lt	Loam	171.601484	430.930997
9	17	Zm	Lt	Loam	174.716306	403.7684842
10	17	Zm	Lt	Loam	183.710735	413.8088701
22	25	Zm	Lt	Loam	185.15654	404.0972764
23	25	Zm	Lt	Loam	171.464513	396.6169182
24	25	Zm	Lt	Loam	167.020565	408.7140264
18	33	Zm	Lt	Loam	181.595294	403.1417251
19	33	Zm	Lt	Loam	187.277054	386.5542791
20	33	Zm	Lt	Loam	172.808858	405.0347474
22	3	Zm	Mix	Loam	169.628087	342.0067775
23	3	Zm	Mix	Loam	163.59629	348.7764914
24	3	Zm	Mix	Loam	154.094561	348.6155964
1	11	Zm	Mix	Loam	162.297602	224.3246201
2	11	Zm	Mix	Loam	157.81307	213.2164986
3	11	Zm	Mix	Loam	158.868254	232.5066392
8	19	Zm	Mix	Loam	152.273354	360.2357306
9	19	Zm	Mix	Loam	175.000394	366.4896261
10	19	Zm	Mix	Loam	171.910937	285.7400366
22	27	Zm	Mix	Loam	172.357361	394.8450946
23	27	Zm	Mix	Loam	169.795496	286.7764998
24	27	Zm	Mix	Loam	159.548036	458.1793316
4	35	Zm	Mix	Loam	158.665334	336.322786
6	35	Zm	Mix	Loam	167.360456	338.7041636
7	35	Zm	Mix	Loam	168.187355	291.1128242
8	24	Sp	Control	Sand	177.080324	292.5208139
9	24	Sp	Control	Sand	151.563134	297.4046221
10	24	Sp	Control	Sand	185.821103	274.6687061
15	40	Sp	Control	Sand	165.412424	307.0358358
16	40	Sp	Control	Sand	182.934566	327.720647
17	40	Sp	Control	Sand	157.955114	329.7574074
18	8	Sp	Control	Sand	180.144416	290.1409837
19	8	Sp	Control	Sand	191.24414	130.9600011
20	8	Sp	Control	Sand	177.557186	301.2498657
22	32	Sp	Control	Sand	172.392872	355.7225877
23	32	Sp	Control	Sand	160.978622	334.3897719
24	32	Sp	Control	Sand	162.601982	337.6748136
8	16	Sp	Control	Sand	159.750956	348.2511219
9	16	Sp	Control	Sand	159.28424	319.284755
10	16	Sp	Control	Sand	166.366148	316.4933338
15	6	Sp	Fc	Sand	166.518338	250.4333342
16	6	Sp	Fc	Sand	155.104088	305.1121209
17	6	Sp	Fc	Sand	165.037022	261.6672176
1	22	Sp	Fc	Sand	166.863302	296.9865111
2	22	Sp	Fc	Sand	158.57402	289.2991344
3	22	Sp	Fc	Sand	160.04519	277.8377801
4	30	Sp	Fc	Sand	152.192186	303.7326336
6	30	Sp	Fc	Sand	163.870232	306.9171663
7	30	Sp	Fc	Sand	151.87766	299.9178469
11	14	Sp	Fc	Sand	164.438408	155.6568324
12	14	Sp	Fc	Sand	166.257924	276.8588893
14	14	Sp	Fc	Sand	158.817524	254.2286447
