ID	soil	plant	Fc	Lt	treat	cosm	NH4.1	NH4.2	NH4.3	NH4.4	NH4.5	NO3.1	NO3.2	NO3.3	NO3.4	NO3.5
1	Loam	Zm	0	1	Lt	1	0.196	0.162	0.184	0.297	0.365	146.501	53.304	22.789	0.478	0.558
2	Loam	Zm	1	0	Fc	2	2.068	0.197	0.162	0.316	0.380	128.122	25.119	13.317	1.290	1.873
3	Loam	Zm	1	1	Mix	3	1.696	0.224	0.168	0.316	0.333	112.195	67.751	20.447	0.432	1.559
4	Loam	Zm	0	0	Control	4	1.757	0.185	0.172	0.360	0.376	122.574	67.821	26.930	9.354	44.184
5	Loam	Sp	0	1	Lt	5	1.913	0.145	0.692	0.333	0.399	151.369	55.697	26.653	5.753	14.489
6	Loam	Sp	1	0	Fc	6	1.655	0.174	0.296	0.322	0.368	144.278	67.872	36.715	7.086	7.949
7	Loam	Sp	1	1	Mix	7	0.180	0.229	1.641	0.333	0.412	144.475	136.627	91.892	44.280	30.748
8	Loam	Sp	0	0	Control	8	2.029	0.158	0.273	0.328	0.399	133.434	81.964	50.922	11.292	18.203
9	Loam	Zm	0	1	Lt	9	0.853	0.147	0.191	0.361	0.402	130.061	49.361	3.800	21.830	7.294
10	Loam	Zm	1	0	Fc	10	1.808	0.184	0.161	0.336	0.381	94.769	23.982	16.178	0.989	0.806
11	Loam	Zm	1	1	Mix	11	0.995	0.185	0.171	0.359	0.396	129.938	77.774	17.701	1.754	0.722
12	Loam	Zm	0	0	Control	12	1.369	0.253	0.191	0.333	0.364	101.192	76.816	41.088	1.371	2.201
13	Loam	Sp	0	1	Lt	13	0.208	0.249	0.160	0.391	0.494	136.163	105.263	53.446	10.179	4.457
14	Loam	Sp	1	0	Fc	14	0.327	0.154	0.144	0.337	0.365	117.880	77.915	49.397	14.877	6.343
15	Loam	Sp	1	1	Mix	15	0.252	0.272	0.246	0.302	0.342	143.470	88.767	45.520	24.306	11.568
16	Loam	Sp	0	0	Control	16	0.176	0.216	0.226	0.323	0.357	127.220	138.708	82.065	9.987	5.029
17	Loam	Zm	0	1	Lt	17	0.288	0.203	0.155	0.295	0.335	97.836	35.459	8.689	2.680	0.518
18	Loam	Zm	1	0	Fc	18	0.827	0.169	0.183	0.337	0.355	120.806	58.495	20.274	0.546	0.514
19	Loam	Zm	1	1	Mix	19	0.174	0.278	0.162	0.349	0.343	103.358	98.357	134.119	10.582	0.248
20	Loam	Zm	0	0	Control	20	0.182	0.125	0.193	0.322	0.367	106.818	60.401	101.113	2.284	12.954
21	Loam	Sp	0	1	Lt	21	0.278	0.257	0.746	0.316	0.384	158.801	116.279	65.511	18.912	15.561
22	Loam	Sp	1	0	Fc	22	4.283	0.182	0.168	0.338	0.416	152.515	89.770	52.780	16.948	15.337
23	Loam	Sp	1	1	Mix	23	0.216	0.201	0.430	0.316	0.349	133.940	105.034	75.247	32.803	17.106
24	Loam	Sp	0	0	Control	24	0.221	0.194	0.229	0.345	0.466	94.934	175.846	80.821	13.909	23.191
25	Loam	Zm	0	1	Lt	25	0.226	0.193	0.162	0.292	0.349	141.142	72.447	26.656	4.112	24.605
26	Loam	Zm	1	0	Fc	26	0.386	0.202	0.188	0.297	0.378	116.088	77.277	47.806	5.079	48.781
27	Loam	Zm	1	1	Mix	27	0.765	0.412	0.200	0.282	0.344	107.392	33.598	14.982	0.389	5.452
28	Loam	Zm	0	0	Control	28	0.686	0.217	0.161	0.302	0.305	103.760	18.793	5.292	1.618	0.908
29	Loam	Sp	0	1	Lt	29	2.282	0.317	0.715	0.307	0.467	142.341	91.529	41.166	11.462	13.497
30	Loam	Sp	1	0	Fc	30	2.880	0.216	0.169	0.332	0.380	146.282	99.258	34.875	3.044	1.276
31	Loam	Sp	1	1	Mix	31	0.280	0.334	0.178	0.300	0.352	140.294	84.415	39.010	4.840	4.326
32	Loam	Sp	0	0	Control	32	2.934	0.184	0.230	0.313	0.333	145.207	77.211	31.787	14.036	3.418
33	Loam	Zm	0	1	Lt	33	0.281	0.242	0.192	1.080	0.388	158.970	150.635	50.849	2.234	42.342
34	Loam	Zm	1	0	Fc	34	0.299	0.176	0.191	0.289	0.335	74.296	40.884	6.457	0.189	0.062
35	Loam	Zm	1	1	Mix	35	1.055	0.181	0.206	0.316	0.374	71.772	30.325	4.601	0.340	0.540
36	Loam	Zm	0	0	Control	36	0.374	0.192	0.191	0.324	0.425	104.248	68.853	36.655	9.431	45.229
37	Loam	Sp	0	1	Lt	37	0.253	0.228	0.205	0.329	0.446	163.565	118.514	44.900	22.928	9.132
38	Loam	Sp	1	0	Fc	38	0.230	0.211	0.263	0.352	0.415	187.962	135.582	112.749	37.392	2.462
39	Loam	Sp	1	1	Mix	39	0.197	0.388	0.245	0.301	0.366	175.456	141.147	46.258	14.174	4.816
40	Loam	Sp	0	0	Control	40	0.097	0.153	0.192	0.351	0.407	88.801	108.003	77.979	63.868	24.947
41	Sand	Zm	0	1	Lt	1	0.107	0.510	0.103	0.124	0.120	9.011	0.688	0.717	0.157	0.168
42	Sand	Zm	1	0	Fc	2	0.107	0.230	0.068	0.124	0.110	12.451	1.562	0.566	0.386	0.165
43	Sand	Zm	1	1	Mix	3	0.096	0.156	0.066	0.118	0.133	5.110	0.316	0.666	0.258	0.182
44	Sand	Zm	0	0	Control	4	0.140	0.118	0.085	0.135	0.117	13.661	0.164	0.534	0.306	0.134
45	Sand	Sp	0	1	Lt	5	0.125	0.278	0.080	1.590	0.273	10.085	1.820	0.516	0.759	0.682
46	Sand	Sp	1	0	Fc	6	0.115	0.209	0.072	0.116	0.138	71.905	7.940	0.825	0.279	0.281
47	Sand	Sp	1	1	Mix	7	0.119	0.129	0.089	0.115	0.128	25.948	2.633	0.288	0.212	0.204
48	Sand	Sp	0	0	Control	8	0.118	0.127	0.092	0.135	0.171	62.225	3.520	0.655	1.908	0.565
49	Sand	Zm	0	1	Lt	9	0.103	0.128	0.074	0.137	0.151	13.610	0.655	0.348	0.187	0.370
50	Sand	Zm	1	0	Fc	10	0.118	0.153	0.084	0.190	0.135	12.987	1.360	0.463	0.217	0.343
51	Sand	Zm	1	1	Mix	11	0.123	0.155	0.063	0.107	0.114	16.899	0.459	0.250	0.206	0.345
52	Sand	Zm	0	0	Control	12	0.107	0.118	0.078	0.118	0.119	4.674	0.678	0.683	0.750	0.237
53	Sand	Sp	0	1	Lt	13	0.142	0.113	0.067	0.105	0.109	24.958	1.980	0.410	0.355	0.262
54	Sand	Sp	1	0	Fc	14	0.105	0.140	0.102	0.097	0.123	0.475	5.030	0.906	0.223	0.272
55	Sand	Sp	1	1	Mix	15	0.125	0.139	0.094	0.156	0.146	7.218	4.357	3.168	0.450	0.304
56	Sand	Sp	0	0	Control	16	0.155	0.154	0.093	0.160	0.136	24.909	1.153	0.229	2.850	0.201
57	Sand	Zm	0	1	Lt	17	0.125	0.113	0.090	0.099	0.127	7.772	0.359	0.359	0.355	0.619
58	Sand	Zm	1	0	Fc	18	0.144	0.127	0.076	0.129	0.117	44.366	0.847	0.191	0.206	0.151
59	Sand	Zm	1	1	Mix	19	0.098	0.130	0.061	0.100	0.132	10.341	1.442	0.192	0.139	0.172
60	Sand	Zm	0	0	Control	20	0.241	0.168	0.081	0.169	0.136	6.624	0.461	0.334	0.168	0.171
61	Sand	Sp	0	1	Lt	21	0.203	0.129	0.098	0.141	0.159	14.444	2.328	0.412	0.848	0.247
62	Sand	Sp	1	0	Fc	22	0.173	0.160	0.098	0.816	0.155	16.317	4.361	0.444	1.269	0.246
63	Sand	Sp	1	1	Mix	23	0.166	0.129	0.068	0.111	0.108	8.686	2.633	0.110	0.186	0.138
64	Sand	Sp	0	0	Control	24	0.167	0.190	0.079	0.145	0.160	50.716	1.890	0.195	0.375	0.238
65	Sand	Zm	0	1	Lt	25	0.174	0.119	0.095	0.133	0.104	17.484	0.220	0.103	0.132	0.227
66	Sand	Zm	1	0	Fc	26	0.171	0.164	0.070	0.124	0.121	21.091	0.436	0.116	0.133	0.302
67	Sand	Zm	1	1	Mix	27	0.155	0.157	0.060	0.176	0.145	15.467	2.368	0.107	0.163	0.140
68	Sand	Zm	0	0	Control	28	0.218	0.260	0.072	0.148	0.126	3.375	0.258	0.292	0.204	0.137
69	Sand	Sp	0	1	Lt	29	0.175	0.202	1.520	0.253	0.193	9.382	1.641	0.355	0.691	0.486
70	Sand	Sp	1	0	Fc	30	0.176	0.127	0.088	0.129	0.137	35.579	2.840	0.248	0.873	0.155
71	Sand	Sp	1	1	Mix	31	0.147	0.148	0.068	0.154	0.132	9.260	0.850	0.207	0.341	0.627
72	Sand	Sp	0	0	Control	32	0.154	0.146	0.082	0.150	0.164	25.418	4.481	0.328	0.481	0.242
73	Sand	Zm	0	1	Lt	33	0.164	0.115	0.071	0.133	0.129	15.129	0.428	0.482	0.149	0.186
74	Sand	Zm	1	0	Fc	34	0.160	0.113	0.071	0.150	0.132	16.173	0.806	0.121	0.178	0.549
75	Sand	Zm	1	1	Mix	35	0.152	0.103	0.057	0.122	0.124	10.919	0.341	1.134	0.138	0.286
76	Sand	Zm	0	0	Control	36	0.165	0.113	0.095	0.135	0.131	11.524	0.305	0.759	0.097	0.151
77	Sand	Sp	0	1	Lt	37	0.165	0.107	0.085	0.107	0.143	16.597	4.149	0.227	0.471	0.201
78	Sand	Sp	1	0	Fc	38	0.135	0.118	0.075	0.189	0.130	9.244	3.172	0.389	2.488	0.379
79	Sand	Sp	1	1	Mix	39	0.141	0.114	0.085	0.131	0.140	11.749	1.990	0.208	0.301	0.206
80	Sand	Sp	0	0	Control	40	0.161	0.158	0.080	0.137	0.156	17.111	1.636	0.153	1.017	0.208
