ID	soil	Lt	Fc	plant	Lt.bm.before	Lt.bm.after	Lt.bm.diff
1	Loam	1	0	Zm	3.204841734	3.6372	0.414333333
3	Loam	1	1	Zm	3.130974107	3.0521	-0.126866667
5	Loam	1	0	Sp	3.186499941	3.319766667	0.039933333
7	Loam	1	1	Sp	3.086020406	3.1767	0.103366667
9	Loam	1	0	Zm	3.122497307	3.169	0.0214
11	Loam	1	1	Zm	3.084489732	2.8373	-0.25545
13	Loam	1	0	Sp	3.138664151	3.3671	0.29312
15	Loam	1	1	Sp	3.159894213	4.19345	1.015875
17	Loam	1	0	Zm	3.126482035	3.040233333	-0.132366667
19	Loam	1	1	Zm	3.172220941	3.5309	0.292
21	Loam	1	0	Sp	3.241973698	4.31405	1.024416667
23	Loam	1	1	Sp	3.028765622	3.5133	0.48918
25	Loam	1	0	Zm	3.145700655	3.0432	-0.162766667
27	Loam	1	1	Zm	3.256367492	3.417	0.11085
29	Loam	1	0	Sp	3.060321636	2.8065	-0.252966667
31	Loam	1	1	Sp	3.156638111	4.1525	0.993733333
33	Loam	1	0	Zm	3.092968559	2.3482	-0.71042
35	Loam	1	1	Zm	3.228072611	2.1918	-1.07766
37	Loam	1	0	Sp	3.190669306	3.371366667	0.169986667
39	Loam	1	1	Sp	3.075506322	3.309766667	0.235846667
42	Sand	1	0	Zm	3.0294	0	0
44	Sand	1	1	Zm	3.0442	2.3986	-0.6456
46	Sand	1	0	Sp	2.80715	3.2511	0.44395
48	Sand	1	1	Sp	2.90465	3.074	0.16935
50	Sand	1	0	Zm	2.96245	2.9953	0.03285
52	Sand	1	1	Zm	3.0624	3.031	-0.0314
54	Sand	1	0	Sp	2.8772	3.18975	0.31255
56	Sand	1	1	Sp	2.8714	3.71585	0.84445
58	Sand	1	0	Zm	3.04295	2.9056	-0.13735
60	Sand	1	1	Zm	2.98065	0	0
62	Sand	1	0	Sp	2.9689	3.57025	0.60135
64	Sand	1	1	Sp	3.0067	3.66545	0.65875
66	Sand	1	0	Zm	2.997	0	0
68	Sand	1	1	Zm	3.486	3.4732	-0.0128
70	Sand	1	0	Sp	3.04085	3.74635	0.7055
72	Sand	1	1	Sp	2.92925	3.623	0.69375
74	Sand	1	0	Zm	2.9968	3.4352	0.4384
76	Sand	1	1	Zm	3.06405	2.84385	-0.2202
78	Sand	1	0	Sp	2.86705	3.43725	0.5702
80	Sand	1	1	Sp	2.9252	3.61685	0.69165
