ID	soil	Lt	Fc	plant	root.before	root.after
1	Loam	1	0	Zm	0.178	3.71
2	Loam	0	1	Zm	0.178	1.62
3	Loam	1	1	Zm	0.178	3.41
4	Loam	0	0	Zm	0.178	3.96
5	Loam	1	0	Sp	0.306	1.72
6	Loam	0	1	Sp	0.306	1.87
7	Loam	1	1	Sp	0.306	1.52
8	Loam	0	0	Sp	0.306	1.12
9	Loam	1	0	Zm	0.178	2.96
10	Loam	0	1	Zm	0.178	2.74
11	Loam	1	1	Zm	0.178	2.87
12	Loam	0	0	Zm	0.178	1.98
13	Loam	1	0	Sp	0.306	1.86
14	Loam	0	1	Sp	0.306	1.47
15	Loam	1	1	Sp	0.306	1.43
16	Loam	0	0	Sp	0.306	1.09
17	Loam	1	0	Zm	0.178	2.28
18	Loam	0	1	Zm	0.178	2.29
19	Loam	1	1	Zm	0.178	3.71
20	Loam	0	0	Zm	0.178	3.68
21	Loam	1	0	Sp	0.306	1.53
22	Loam	0	1	Sp	0.306	0.82
23	Loam	1	1	Sp	0.306	1.46
24	Loam	0	0	Sp	0.306	1.48
25	Loam	1	0	Zm	0.178	4.52
26	Loam	0	1	Zm	0.178	3.72
27	Loam	1	1	Zm	0.178	4.5
28	Loam	0	0	Zm	0.178	2.46
29	Loam	1	0	Sp	0.306	1.57
30	Loam	0	1	Sp	0.306	2.05
31	Loam	1	1	Sp	0.306	1.56
32	Loam	0	0	Sp	0.306	1.31
33	Loam	1	0	Zm	0.178	3.62
34	Loam	0	1	Zm	0.178	3.33
35	Loam	1	1	Zm	0.178	3.55
36	Loam	0	0	Zm	0.178	2.87
37	Loam	1	0	Sp	0.306	1.51
38	Loam	0	1	Sp	0.306	1.49
39	Loam	1	1	Sp	0.306	1.58
40	Loam	0	0	Sp	0.306	1.13
41	Loam	0	0	Zm	0	0
42	Sand	1	0	Zm	0.788	1.2
43	Sand	0	1	Zm	0.788	3.99
44	Sand	1	1	Zm	0.788	2.23
45	Sand	0	0	Zm	0.788	1.82
46	Sand	1	0	Sp	4.38	7.92
47	Sand	0	1	Sp	4.38	5.94
48	Sand	1	1	Sp	4.38	6.47
49	Sand	0	0	Sp	4.38	2.84
50	Sand	1	0	Zm	0.788	3.62
51	Sand	0	1	Zm	0.788	2.07
52	Sand	1	1	Zm	0.788	2.94
53	Sand	0	0	Zm	0.788	1.86
54	Sand	1	0	Sp	4.38	6.64
55	Sand	0	1	Sp	4.38	5.41
56	Sand	1	1	Sp	4.38	5.9
57	Sand	0	0	Sp	4.38	4.75
58	Sand	1	0	Zm	0.788	2.55
59	Sand	0	1	Zm	0.788	1.29
60	Sand	1	1	Zm	0.788	2.21
61	Sand	0	0	Zm	0.788	2.83
62	Sand	1	0	Sp	4.38	6.14
63	Sand	0	1	Sp	4.38	4.83
64	Sand	1	1	Sp	4.38	7.71
65	Sand	0	0	Sp	4.38	5.81
66	Sand	1	0	Zm	0.788	3.44
67	Sand	0	1	Zm	0.788	1.66
68	Sand	1	1	Zm	0.788	4.57
69	Sand	0	0	Zm	0.788	2.87
70	Sand	1	0	Sp	4.38	7.59
71	Sand	0	1	Sp	4.38	6.37
72	Sand	1	1	Sp	4.38	5.58
73	Sand	0	0	Sp	4.38	4.77
74	Sand	1	0	Zm	0.788	3.93
75	Sand	0	1	Zm	0.788	1.96
76	Sand	1	1	Zm	0.788	4.01
77	Sand	0	0	Zm	0.788	1.67
78	Sand	1	0	Sp	4.38	8.47
79	Sand	0	1	Sp	4.38	3.57
80	Sand	1	1	Sp	4.38	7.25
81	Sand	0	0	Sp	4.38	4.32
82	Sand	0	0	Zm	0	0
