ID	soil	Lt	Fc	plant	shoot.before	shoot.after
1	Loam	1	0	Zm	0.218	9.54
2	Loam	0	1	Zm	0.218	4.64
3	Loam	1	1	Zm	0.218	9.28
4	Loam	0	0	Zm	0.218	10.76
5	Loam	1	0	Sp	0.392	2.47
6	Loam	0	1	Sp	0.392	1.75
7	Loam	1	1	Sp	0.392	1.85
8	Loam	0	0	Sp	0.392	2.33
9	Loam	1	0	Zm	0.218	10.39
10	Loam	0	1	Zm	0.218	7.77
11	Loam	1	1	Zm	0.218	10.39
12	Loam	0	0	Zm	0.218	7.7
13	Loam	1	0	Sp	0.392	2.47
14	Loam	0	1	Sp	0.392	2.4
15	Loam	1	1	Sp	0.392	1.85
16	Loam	0	0	Sp	0.392	2.14
17	Loam	1	0	Zm	0.218	6.4
18	Loam	0	1	Zm	0.218	8.01
19	Loam	1	1	Zm	0.218	9.76
20	Loam	0	0	Zm	0.218	12.32
21	Loam	1	0	Sp	0.392	2.22
22	Loam	0	1	Sp	0.392	2.35
23	Loam	1	1	Sp	0.392	1.82
24	Loam	0	0	Sp	0.392	2.08
25	Loam	1	0	Zm	0.218	13.8
26	Loam	0	1	Zm	0.218	10.25
27	Loam	1	1	Zm	0.218	11.36
28	Loam	0	0	Zm	0.218	7.91
29	Loam	1	0	Sp	0.392	2.47
30	Loam	0	1	Sp	0.392	2.94
31	Loam	1	1	Sp	0.392	2.75
32	Loam	0	0	Sp	0.392	1.84
33	Loam	1	0	Zm	0.218	12.02
34	Loam	0	1	Zm	0.218	8.4
35	Loam	1	1	Zm	0.218	11.35
36	Loam	0	0	Zm	0.218	7.47
37	Loam	1	0	Sp	0.392	2.15
38	Loam	0	1	Sp	0.392	1.11
39	Loam	1	1	Sp	0.392	2.54
40	Loam	0	0	Sp	0.392	1.46
41	Loam	0	0	Zm	0	0
42	Sand	1	0	Zm	1.2	2.62
43	Sand	0	1	Zm	1.2	2.73
44	Sand	1	1	Zm	1.2	4.9
45	Sand	0	0	Zm	1.2	3.14
46	Sand	1	0	Sp	2.424	4.49
47	Sand	0	1	Sp	2.424	4.34
48	Sand	1	1	Sp	2.424	4.7
49	Sand	0	0	Sp	2.424	3.76
50	Sand	1	0	Zm	1.2	4.93
51	Sand	0	1	Zm	1.2	4.1
52	Sand	1	1	Zm	1.2	4.04
53	Sand	0	0	Zm	1.2	4.53
54	Sand	1	0	Sp	2.424	5.42
55	Sand	0	1	Sp	2.424	3.62
56	Sand	1	1	Sp	2.424	4.83
57	Sand	0	0	Sp	2.424	4.35
58	Sand	1	0	Zm	1.2	3.99
59	Sand	0	1	Zm	1.2	2.95
60	Sand	1	1	Zm	1.2	3.23
61	Sand	0	0	Zm	1.2	2.95
62	Sand	1	0	Sp	2.424	4.11
63	Sand	0	1	Sp	2.424	4.11
64	Sand	1	1	Sp	2.424	4.04
65	Sand	0	0	Sp	2.424	4.46
66	Sand	1	0	Zm	1.2	4.25
67	Sand	0	1	Zm	1.2	3.91
68	Sand	1	1	Zm	1.2	3.75
69	Sand	0	0	Zm	1.2	3.27
70	Sand	1	0	Sp	2.424	5.74
71	Sand	0	1	Sp	2.424	3.26
72	Sand	1	1	Sp	2.424	4.17
73	Sand	0	0	Sp	2.424	4.18
74	Sand	1	0	Zm	1.2	4.35
75	Sand	0	1	Zm	1.2	4.35
76	Sand	1	1	Zm	1.2	4.58
77	Sand	0	0	Zm	1.2	3.04
78	Sand	1	0	Sp	2.424	4.98
79	Sand	0	1	Sp	2.424	2.85
80	Sand	1	1	Sp	2.424	4.92
81	Sand	0	0	Sp	2.424	4.61
82	Sand	0	0	Zm	0	0
